dataset,model,variant,seed,f1,f1_std,f1_ci_lo,f1_ci_hi,precision,recall,accuracy,auc,ece_pre,ece_post_temp,temperature_T,train_s,ms_per_sample,peak_ram_mb,peak_vram_mb,trainable_params,git_commit,n_seeds,f1_min,f1_max,precision_std,precision_min,precision_max,recall_std,recall_min,recall_max,accuracy_std,accuracy_min,accuracy_max,train_s_std,train_s_min,train_s_max,ms_per_sample_std,ms_per_sample_min,ms_per_sample_max,peak_ram_mb_std,peak_ram_mb_min,peak_ram_mb_max,peak_vram_mb_std,peak_vram_mb_min,peak_vram_mb_max,auc_std,auc_min,auc_max,ece_pre_std,ece_pre_min,ece_pre_max,ece_post_temp_std,ece_post_temp_min,ece_post_temp_max
euvsdisinfo,qwen25-7b,lora_big,mean,0.9502339589790102,0.0064547387373676875,0.942929734489777,0.9575381834682434,0.9506908036039187,0.9516649863930863,0.9502903333333333,,,,,4286.692333333333,2143.346,5735.733333333334,14068.700000000003,80740352,,3.0,0.9435564436991613,0.956440075060639,0.0065256825992052025,0.9443204870765529,0.9573614796041003,0.006675584552903735,0.9444879519001453,0.9576888806202969,0.006455190650424939,0.943584,0.956461,407.26000952503693,4046.159,4756.914,203.63015241608986,2023.079,2378.457,93.23069952184925,5629.8,5805.3,2.227797943108433e-12,14068.7,14068.7,,,,,,,,,
euvsdisinfo,qwen25-7b,zs_short,mean,0.6285366880910904,0.012868000885285062,0.6139751742919891,0.6430982018901917,0.6337457436263972,0.632202485659906,0.6293213333333334,,,,,386.14466666666664,386.14466666666664,5715.566666666666,5968.0,0,,3.0,0.6206122652728354,0.6433841229261213,0.014150431811238937,0.6245594427441199,0.6500411856174729,0.012976672877640049,0.624399737083023,0.6471823018495239,0.013302256400074855,0.62086,0.644654,13.578678924451145,370.9,396.942,13.578678924451145,370.9,396.942,21.69615941435989,5693.1,5736.4,0.6082762530296425,5967.3,5968.4,,,,,,,,,
euvsdisinfo,rf,tfidf,mean,0.9390454483917414,0.005241910643887151,0.9344507111273106,0.9436401856561722,0.938681736465089,0.9397711360301431,0.9393811013204771,0.985556876798403,0.4887375902677967,,,16.701600000000003,7.7602,1488.92,0.0,0,,5.0,0.9301638716483814,0.9432918654892635,0.005363696339858878,0.9295675787286195,0.9427432657707197,0.0052111835671290055,0.9309027555255792,0.9440739074483049,0.004904033636104062,0.931176923076923,0.9436508763619138,0.8309312847642699,15.798,18.023,0.3660979377161251,7.165,8.133,394.074754329683,1154.5,2158.5,0.0,0.0,0.0,0.0034932275336996286,0.9799975158695972,0.9883149385715869,0.01827145348615692,0.47374927992007,0.513652178957933,,,
euvsdisinfo,svm,tfidf,mean,0.9539778888848444,0.002324237035759833,0.951940605297794,0.9560151724718947,0.9541105641264951,0.9539200789485582,0.9542995710503914,0.9907906508225583,0.46327275464332895,,,15.1204,7.0283999999999995,1311.1200000000001,0.0,0,,5.0,0.95089786009822,0.9572728237918973,0.0020966192907614354,0.9517584509921381,0.9572491318340244,0.0025693384825552033,0.950170470011594,0.957338336476305,0.0020773929124165433,0.951770673076923,0.9573319727891156,0.09718178841737801,14.974,15.211,0.2197004779239225,6.821,7.313,307.12265790722773,1053.0,1813.9,0.0,0.0,0.0,0.0016001161228181718,0.9885396754555327,0.9929262294631156,0.009989717128406848,0.45370964160208366,0.47870135963052063,,,
liar,bert_base,finetune,mean,0.6194145845211978,0.007601558751545219,0.6127515244966597,0.6260776445457359,0.6752603185995698,0.6121492264129088,0.7348244029075806,0.7090749743599651,0.5126573835976368,0.4465506959743878,,374.1384,194.25680000000003,1568.24,2461.1600000000003,109483778,,5.0,0.6073161564667818,0.6259407136636702,0.012327713678523722,0.6576959072627833,0.6907552040168672,0.0052662701417550625,0.6041974692538183,0.617137406532201,0.008356470779654741,0.7232559709241952,0.7424397715472483,11.305417011326922,354.861,384.069,5.869763768670769,184.248,199.413,7.502866119024167,1557.6,1576.0,16.189132157098598,2432.2,2468.4,0.008343740582993236,0.6969765350288157,0.7180229840774073,0.03081378359472495,0.4598122144704018,0.5380611436515041,0.019901576726555435,0.416859640636634,0.4654745073602298
liar,distilbert,finetune,mean,0.620464318824869,0.010811553982062228,0.6109875739235195,0.6299410637262184,0.664725291662679,0.613698741923477,0.7287809968847352,0.7077451560018868,0.5028964123486512,0.4415722727727596,,190.1504,98.7282,1363.26,1397.1199999999997,66955010,,5.0,0.6085744621168514,0.631738883293668,0.013667379660037667,0.640739579654085,0.6741699161931236,0.008818831784867325,0.6035491152136941,0.622774630114719,0.00775139063683345,0.7188608515057112,0.7386318795430945,8.413198398944365,177.59,201.305,4.368179105760203,92.207,104.52,300.57572756295536,825.6,1500.1,36.85040026919648,1331.2,1413.6,0.013560592182132547,0.6840430978121403,0.7178371204664843,0.025331678778458218,0.46278765197429395,0.5318038104293502,0.013116428303591844,0.4234185213658319,0.45672774363530233
liar,llama31-8b,lora_basic,mean,0.6319022365391473,0.011915529731378055,0.608903792311558,0.6545880013992692,0.647348449798586,0.625364143424309,0.716614745586708,,,,,644.381,334.57,5094.5,0.0,0,3bda4457c1cc03871c6496ea2af2c4e60872accf,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liar,llama31-8b,lora_big,mean,0.5862258362880189,0.11899146686317957,0.4515743156555576,0.7208773569204803,0.6410141530792014,0.6419423622271782,0.6135392869505019,,,,,2116.3383333333336,1098.8256666666668,5263.099999999999,3346.9666666666667,27962026,,3.0,0.44883650517915874,0.6563689352534621,0.02329407413368894,0.6141663488285912,0.6558559568006997,0.04772962756615483,0.5884511147929017,0.6801828623485064,0.13873243257988643,0.4538722741433022,0.7046209761163031,1318.9222711692807,1348.528,3639.281,684.7987345376256,700.17,1889.554,260.73728156901535,4962.2,5422.4,5797.116317906112,0.0,10040.9,,,,,,,,,
liar,llama31-8b,lora_natural_distribution,mean,0.530846750707862,0.027984206235902486,0.49917964026128364,0.5625138611544404,0.7403604014926892,0.5580500931828258,0.7274103496019384,,,,,1365.2169999999999,708.835,5385.666666666666,0.0,0,,3.0,0.4994792425435767,0.5532517674932579,0.0429802293238436,0.7043074057130436,0.7879239309567042,0.016953750669926895,0.5389429269555401,0.571293772616377,0.014427637677900583,0.7181033229491173,0.744030114226376,21.638492114747766,1347.852,1389.458,11.234779748619953,699.819,721.421,58.02123174608862,5318.7,5420.9,0.0,0.0,0.0,,,,,,,,,
liar,llama31-8b,zs_short,mean,0.5285353668826879,0.002580498646901237,0.5256152577693614,0.5314554759960144,0.5888830593780284,0.5986070360938723,0.5310659911665367,,,,,475.22,370.397,5064.766666666667,0.0,0,,3.0,0.5256416031310689,0.530597530628067,0.00401338669955389,0.586189666827092,0.5934957164960476,0.004994351788215093,0.5938947392360028,0.6038422891626095,0.003089919584008585,0.527879968823071,0.534049883086516,0.38006315264702595,474.836,475.596,0.29604560459496015,370.098,370.69,5.122824741618225,5061.0,5070.6,0.0,0.0,0.0,,,,,,,,,
